Car,MPG,Displacement,Horsepower,Weight,Model,Origin
AMC Ambassador Brougham,13,360,175,3821,73,US
AMC Ambassador DPL,15,390,190,3850,70,US
AMC Ambassador SST,17,304,150,3672,72,US
AMC Concord,19.4,232,90,3210,78,US
AMC Concord,24.3,151,90,3003,80,US
AMC Concord d/l,18.1,258,120,3410,78,US
AMC Concord DL,23,151,0,3035,82,US
AMC Concord DL 6,20.2,232,90,3265,79,US
AMC Gremlin,21,199,90,2648,70,US
AMC Gremlin,19,232,100,2634,71,US
AMC Gremlin,18,232,100,2789,73,US
AMC Gremlin,20,232,100,2914,75,US
AMC Hornet,18,199,97,2774,70,US
AMC Hornet,18,232,100,2945,73,US
AMC Hornet,19,232,100,2901,74,US
AMC Hornet,22.5,232,90,3085,76,US
AMC Hornet Sportabout (sw),18,258,110,2962,71,US
AMC Matador,18,232,100,3288,71,US
AMC Matador,14,304,150,3672,73,US
AMC Matador,16,258,110,3632,74,US
AMC Matador,15,258,110,3730,75,US
AMC Matador,15.5,304,120,3962,76,US
AMC Matador (sw),15,304,150,3892,72,US
AMC Matador (sw),14,304,150,4257,74,US
AMC Pacer,19,232,90,3211,75,US
AMC Pacer d/l,17.5,258,95,3193,76,US
AMC Rebel SST,16,304,150,3433,70,US
AMC Spirit DL,27.4,121,80,2670,79,US
Audi 100 LS,24,107,90,2430,70,Europe
Audi 100LS,20,114,91,2582,73,Europe
Audi 100LS,23,115,95,2694,75,Europe
Audi 4000,34.3,97,78,2188,80,Europe
Audi 5000,20.3,131,103,2830,78,Europe
Audi 5000s (diesel),36.4,121,67,2950,80,Europe
Audi Fox,29,98,83,2219,74,Europe
BMW 2002,26,121,113,2234,70,Europe
BMW 320i,21.5,121,110,2600,77,Europe
Buick Century,17,231,110,3907,75,US
Buick Century,22.4,231,110,3415,81,US
Buick Century 350,13,350,175,4100,73,US
Buick Century Limited,25,181,110,2945,82,US
Buick Century Luxus (sw),13,350,150,4699,74,US
Buick Century Special,20.6,231,105,3380,78,US
Buick Electra 225 Custom,12,455,225,4951,73,US
Buick Estate Wagon (sw),14,455,225,3086,70,US
Buick Estate Wagon (sw),16.9,350,155,4360,79,US
Buick LeSabre Custom,13,350,155,4502,72,US
Buick Opel Isuzu Deluxe,30,111,80,2155,77,US
Buick Regal Sport Coupe (turbo),17.7,231,165,3445,78,US
Buick Skyhawk,21,231,110,3039,75,US
Buick Skylark,20.5,231,105,3425,77,US
Buick Skylark,26.6,151,84,2635,81,US
Buick Skylark 320,15,350,165,3693,70,US
Buick Skylark Limited,28.4,151,90,2670,79,US
Cadillac Eldorado,23,350,125,3900,79,US
Cadillac Seville,16.5,350,180,4380,76,US
Capri ii,25,140,92,2572,76,US
Chevrolet Bel Air,15,350,145,4440,75,US
Chevrolet C10,13,350,145,4055,76,US
Chevrolet Camaro,27,151,90,2950,82,US
Chevrolet Caprice Classic,13,400,150,4464,73,US
Chevrolet Caprice Classic,17.5,305,145,3880,77,US
Chevrolet Caprice Classic,17,305,130,3840,79,US
Chevrolet Cavalier,28,112,88,2605,82,US
Chevrolet Cavalier 2-door,34,112,88,2395,82,US
Chevrolet Cavalier Wagon,27,112,88,2640,82,US
Chevrolet Chevelle Concours (sw),13,307,130,4098,72,US
Chevrolet Chevelle Malibu,18,307,130,3504,70,US
Chevrolet Chevelle Malibu,17,250,100,3329,71,US
Chevrolet Chevelle Malibu Classic,16,250,100,3781,74,US
Chevrolet Chevelle Malibu Classic,17.5,305,140,4215,76,US
Chevrolet Chevette,29,85,52,2035,76,US
Chevrolet Chevette,30.5,98,63,2051,77,US
Chevrolet Chevette,30,98,68,2155,78,US
Chevrolet Chevette,32.1,98,70,2120,80,US
Chevrolet Citation,28.8,173,115,2595,79,US
Chevrolet Citation,28,151,90,2678,80,US
Chevrolet Citation,23.5,173,110,2725,81,US
Chevrolet Concours,17.5,250,110,3520,77,US
Chevrolet Impala,14,454,220,4354,70,US
Chevrolet Impala,14,350,165,4209,71,US
Chevrolet Impala,13,350,165,4274,72,US
Chevrolet Impala,11,400,150,4997,73,US
Chevrolet Malibu,13,350,145,3988,73,US
Chevrolet Malibu,20.5,200,95,3155,78,US
Chevrolet Malibu Classic (sw),19.2,267,125,3605,79,US
Chevrolet Monte Carlo,15,400,150,3761,70,US
Chevrolet Monte Carlo Landau,15.5,350,170,4165,77,US
Chevrolet Monte Carlo Landau,19.2,305,145,3425,78,US
Chevrolet Monte Carlo S,15,350,145,4082,73,US
Chevrolet Monza 2+2,20,262,110,3221,75,US
Chevrolet Nova,15,250,100,3336,74,US
Chevrolet Nova,18,250,105,3459,75,US
Chevrolet Nova,22,250,105,3353,76,US
Chevrolet Nova Custom,16,250,100,3278,73,US
Chevrolet Vega,20,140,90,2408,72,US
Chevrolet Vega,21,140,72,2401,73,US
Chevrolet Vega,25,140,75,2542,74,US
Chevrolet Vega (sw),22,140,72,2408,71,US
Chevrolet Vega 2300,28,140,90,2264,71,US
Chevrolet Woody,24.5,98,60,2164,76,US
Chevrolete Chevelle Malibu,16,250,105,3897,75,US
Chevy C20,10,307,200,4376,70,US
Chevy S-10,31,119,82,2720,82,US
Chrysler Cordoba,15.5,400,190,4325,77,US
Chrysler Lebaron Medallion,26,156,92,2585,82,US
Chrysler Lebaron Salon,17.6,225,85,3465,81,US
Chrysler Lebaron Town @ Country (sw),18.5,360,150,3940,79,US
Chrysler New Yorker Brougham,13,440,215,4735,73,US
Chrysler Newport Royal,13,400,190,4422,72,US
Datsun 1200,35,72,69,1613,71,Japan
Datsun 200-SX,23.9,119,97,2405,78,Japan
Datsun 200SX,32.9,119,100,2615,81,Japan
Datsun 210,31.8,85,65,2020,79,Japan
Datsun 210,40.8,85,65,2110,80,Japan
Datsun 210 MPG,37,85,65,1975,81,Japan
Datsun 280-ZX,32.7,168,132,2910,80,Japan
Datsun 310,37.2,86,65,2019,80,Japan
Datsun 310 GX,38,91,67,1995,82,Japan
Datsun 510,27.2,119,97,2300,78,Japan
Datsun 510 (sw),28,97,92,2288,72,Japan
Datsun 510 Hatchback,37,119,92,2434,80,Japan
Datsun 610,22,108,94,2379,73,Japan
Datsun 710,32,83,61,2003,74,Japan
Datsun 710,24,119,97,2545,75,Japan
Datsun 810,22,146,97,2815,77,Japan
Datsun 810 Maxima,24.2,146,120,2930,81,Japan
Datsun B-210,32,85,70,1990,76,Japan
Datsun B210,31,79,67,1950,74,Japan
Datsun B210 GX,39.4,85,70,2070,78,Japan
Datsun F-10 Hatchback,33.5,85,70,1945,77,Japan
Datsun PL510,27,97,88,2130,70,Japan
Datsun PL510,27,97,88,2130,71,Japan
Dodge Aries SE,29,135,84,2525,82,US
Dodge Aries Wagon (sw),25.8,156,92,2620,81,US
Dodge Aspen,18.6,225,110,3620,78,US
Dodge Aspen,19.1,225,90,3381,80,US
Dodge Aspen 6,20.6,225,110,3360,79,US
Dodge Aspen SE,20,225,100,3651,76,US
Dodge Challenger SE,15,383,170,3563,70,US
Dodge Charger 2.2,36,135,84,2370,82,US
Dodge Colt,28,90,75,2125,74,US
Dodge Colt,26,98,79,2255,76,US
Dodge Colt,27.9,156,105,2800,80,US
Dodge Colt (sw),28,98,80,2164,72,US
Dodge Colt Hardtop,25,97.5,80,2126,72,US
Dodge Colt Hatchback Custom,35.7,98,80,1915,79,US
Dodge Colt m/m,33.5,98,83,2075,77,US
Dodge Coronet Brougham,16,318,150,4190,76,US
Dodge Coronet Custom,15,318,150,3777,73,US
Dodge Coronet Custom (sw),14,318,150,4457,74,US
Dodge D100,13,318,150,3755,76,US
Dodge D200,11,318,210,4382,70,US
Dodge Dart Custom,15,318,150,3399,73,US
Dodge Diplomat,19.4,318,140,3735,78,US
Dodge Magnum XE,17.5,318,140,4080,78,US
Dodge Monaco (sw),12,383,180,4955,71,US
Dodge Monaco Brougham,15.5,318,145,4140,77,US
Dodge Omni,30.9,105,75,2230,78,US
Dodge Rampage,32,135,84,2295,82,US
Dodge St. Regis,18.2,318,135,3830,79,US
Fiat 124 Sport Coupe,26,98,90,2265,73,Europe
Fiat 124 TC,26,116,75,2246,74,Europe
Fiat 124B,30,88,76,2065,71,Europe
Fiat 128,29,68,49,1867,73,Europe
Fiat 128,24,90,75,2108,74,Europe
Fiat 131,28,107,86,2464,76,Europe
Fiat Strada Custom,37.3,91,69,2130,79,Europe
Fiat x1.9,31,79,67,2000,74,Europe
Ford Country,12,400,167,4906,73,US
Ford Country Squire (sw),13,400,170,4746,71,US
Ford Country Squire (sw),15.5,351,142,4054,79,US
Ford Escort 2H,29.9,98,65,2380,81,US
Ford Escort 4W,34.4,98,65,2045,81,US
Ford F108,13,302,130,3870,76,US
Ford F250,10,360,215,4615,70,US
Ford Fairmont,26.4,140,88,2870,80,US
Ford Fairmont (auto),20.2,200,85,2965,78,US
Ford Fairmont (man),25.1,140,88,2720,78,US
Ford Fairmont 4,22.3,140,88,2890,79,US
Ford Fairmont Futura,24,140,92,2865,82,US
Ford Fiesta,36.1,98,66,1800,78,US
Ford Futura,18.1,302,139,3205,78,US
Ford Galaxie 500,15,429,198,4341,70,US
Ford Galaxie 500,14,351,153,4154,71,US
Ford Galaxie 500,14,351,153,4129,72,US
Ford Gran Torino,14,302,137,4042,73,US
Ford Gran Torino,16,302,140,4141,74,US
Ford Gran Torino,14.5,351,152,4215,76,US
Ford Gran Torino (sw),13,302,140,4294,72,US
Ford Gran Torino (sw),14,302,140,4638,74,US
Ford Grenada,18.5,250,98,3525,77,US
Ford Grenada ghia,18,250,78,3574,76,US
Ford Grenada gl,20.2,200,88,3060,81,US
Ford Grenada l,22,232,112,2835,82,US
Ford LTD,13,351,158,4363,73,US
Ford LTD,14,351,148,4657,75,US
Ford LTD Landau,17.6,302,129,3725,79,US
Ford Maverick,21,200,85,2587,70,US
Ford Maverick,18,250,88,3021,73,US
Ford Maverick,21,200,0,2875,74,US
